player_name,year,avg_points,pos_rank,total_points
Eddy Pineiro,2021,7.6,K36,38.0
Laquon Treadwell,2021,5.49,WR90,65.9
David Sills V,2021,0.68,WR207,2.7
Josh Hammond,2021,0.0,WR224,0.0
Adam Shaheen,2021,1.7,TE67,17.0
Kyle Trask,2021,0.0,QB0,0.0
Krishawn Hogan,2021,0.0,WR0,0.0
Austin Ekeler,2021,19.3,RB2,308.8
Daniel Carlson,2021,10.06,K1,171.0
Peyton Barber,2021,4.99,RB79,44.9
Jameis Winston,2021,16.69,QB33,116.8
Jamison Crowder,2021,7.02,WR68,84.2
J'Mon Moore,2021,0.0,WR0,0.0
Duke Johnson,2021,11.42,RB69,57.1
Evan Engram,2021,5.3,TE23,79.5
Riley Ridley,2021,0.0,WR0,0.0
David Grinnage,2021,0.0,TE0,0.0
Isaac Nauta,2021,0.0,TE0,0.0
Mecole Hardman,2021,6.55,WR51,111.4
Jacob Eason,2021,-1.0,QB80,-1.0
Elijah Holyfield,2021,0.0,RB0,0.0
Jason Witten,2021,0.0,TE0,0.0
Gus Edwards,2021,0.0,RB0,0.0
Tyrie Cleveland,2021,0.0,WR224,0.0
Nick O'Leary,2021,0.0,TE0,0.0
Benny Snell Jr.,2021,0.76,RB119,12.1
Stephen Anderson,2021,2.35,TE56,30.5
Trey Edmunds,2021,0.0,RB167,0.0
Charlie Woerner,2021,0.77,TE87,7.7
Javon Wims,2021,0.0,WR0,0.0
Johnny Mundt,2021,0.7,TE111,1.4
Albert Okwuegbunam,2021,4.25,TE30,59.5
River Cracraft,2021,0.0,WR224,0.0
Damarea Crockett,2021,0.23,RB163,0.7
Scottie Phillips,2021,1.6,RB145,3.2
Tucker McCann,2021,0.0,K0,0.0
Darren Waller,2021,9.64,TE18,106.0
Luke Falk,2021,0.0,QB0,0.0
Justin Fields,2021,10.48,QB31,125.8
Khalfani Muhammad,2021,0.0,RB0,0.0
Darrell Daniels,2021,0.05,TE116,0.5
Phillip Lindsay,2021,3.1,RB81,43.4
Marquez Callaway,2021,7.58,WR42,128.8
Marcus Mariota,2021,2.1,QB55,14.7
J.P. Holtz,2021,0.0,RB167,0.0
John Ross,2021,3.94,WR126,35.5
Trayveon Williams,2021,1.5,RB134,6.0
Ty Montgomery,2021,1.68,WR147,21.9
Kevin Hogan,2021,0.0,QB0,0.0
Jake Kumerow,2021,0.48,WR201,3.8
Kawaan Baker,2021,0.0,WR224,0.0
Jordan Thomas,2021,0.0,TE0,0.0
Mekhi Sargent,2021,0.18,RB159,1.1
Brett Hundley,2021,0.0,QB0,0.0
Cornell Powell,2021,0.0,WR0,0.0
Matthew McCrane,2021,0.0,K0,0.0
Stephen Sullivan,2021,0.0,TE119,0.0
Austin Roberts,2021,0.0,TE0,0.0
Jordan Lasley,2021,0.0,WR0,0.0
Javorius Allen,2021,0.0,RB0,0.0
Denzel Mims,2021,1.73,WR153,17.3
